Word,Explanation
איצטבה, מדף
גדיד, קטיף תמרים
גזר, חלק/ חתיכה
גת, בור בו דורכים ענבים
ישימון, ציה/ שממה/ מדבר
מבודר, מפוזר
מליץ, מתורגמן/ ממליץ/ מסנגר/ מֵלִיץ יוֹשֶׁר = סנגור טוען לזכותו של מישהו
ספח, צירף/ חיבר/ הוסיף דבר אחד לדבר אחר
עילאי, עליון/ נעלה/ נאצל
תחינה, תפילת בקשה
אצטלה, גלימה
חיזר על הפתחים, הלך מבית לבית
כמרקחה, הומה
למכביר, בשפע
מדוה, כאב/ מחלה
מהמורה, בור/ שוחה
מסוכה (משוכה)," גדר ""חיה"" (מורכבת מצמחים)"
מפח נפש, אכזבה קשה/ יאוש
משאת נפש, אידיאל/ דבר שהאדם שואף אליו
נוגה, עצוב/ עגום
נקף, היכה/ הקיש/ דפק/ (נאמר על זמן) עבר/ חלף
סכך, כיסה בגופו על משהו
עלץ, שמח
פשה, התפשט/ התרחב
רדה, שלט ביד חזקה/ נהג כרודן ; הוציא דבש או לחם
שוחר, חובב/ ידיד/ רוצה בכל ליבו/ מבקש/ בעל עניין במשהו
נסך, יציקת נוזלים למטרה דתית
במזיד, מתוך כוונה רעה/ בזדון
גחמה, עיקשות
שרש, עקר צמח מן השורש/ חיסל לחלוטין/ עקר מן היסוד
הכביר, הרבה/ הגדיל
בא כוחו, הנציג שלו/ השליח שלו
בוסס, הלך לאט ובצעדים כבדים
חריט, ארנק
גנז, העביר מסמך או חומר כתוב אחר למשמרת בארכיון אצר/ הטמין/ הסתיר החליט שלא לממש רעיון או תוכנית
כבד, ניקה/ טאטא
רצד, פיזז/ רטט/ נע בתנועות מהירות
שביב, 1. ניצוץ/ קרן אור 2. משהו/ קורטוב
למפרע, בדיעבד
מכביר, מוסיף
אין, הפך משהו לאַיִן/ ביטל את קיומו (לְאַיֵן)
משעול, שביל/ דרך עפר צרה
מלעיל, מלמעלה
מפיח, מכוסה פיח
נגף, נחל תבוסה/ הוכה או נפגע
נוגש, דוחק ומזרז בכח/ רודה
בכר, נתן למישהו או למשהו יתרון או עמדה בכירה על פני אחרים/ גמל צעיר
סכל, טיפש
עוית, התכווצות בלתי רצונית של שרירי הגוף
עיר, חמור צעיר
ערום, ערמומי/ נוכל
צפחת, כד
קדחתני, דחוף
קטגור, פרקליט המסייע לתובע נגד הנאשם
גר, פחד/ ירא
שום, נתון/ מונח/ מוטל
דש בעקביו, זלזל בדבר
תעל, חפר והתקין רשת תעלות
איטר, שמאלי
בצע, חתך/ פרס (לחם)
דוי, כאב/ חולי
ההין, העז
החשה, השתתק
הסתאב, הזדהם/ התנוון/ הושחת.
התרצה, הסכים
חיגר, צולע/ פיסח
טיכס עצה, התייעץ
לוט, 1. עטוף/ מכוסה/ 2. חומר כתוב המצורף למכתב
כרך, עיר גדולה
להג, פטפוט
למצער, לפחות
למשעי, היטב/ באופן נקי
מותר, עודף/ שארית/ יתרון/ עדיפות
מכורה, מולדת
משובה, שובבות
סבכה, מחיצה או גדר עשויה בצורת רשת
סר, נרגז ועצוב
עול, 1. כלי רתימה לבקר/ 2. נטל/ מעמסה
עכבה, מניעה/ מעצור
עסיס, מיץ
ערטילאי, 1. ערום/ חשוף/ 2. מופשט/ לא מוחשי
פקד, היה בעמדת פיקוד/ מילא תפקיד של מפקד
קטום, שראשו נכרת ונקצץ
ניטש, התרחש
רחש, מחשבה/ הרהור (בעיקר כחלק מהביטוי רחש לב)/ רשרוש
שומה, הערכה/ אומדן/ בליטה על עור הגוף
תלאה, ייסורים
בצר, חיזק/ הפך מקום למבצר חיזק או ביסס טענה
גהר, התכופף
הסתגף, מנע מעצמו דברים
חיכה עד בוש, חיכה לשווא
נרגן, מתלונן
מלרע, מלמטה
מספוא, מזון לבהמות
סור, סבל בנמל
נלוז, מושחת
עמד בפרץ, הגן/ מנע תקלה או אסון
פוחז, חסר אחריות
קילס, בז/ גינה/ לעג/ גידף/ הילל/ שיבח מאוד/ פיאר ורומם
עצרת, אספת עם המונית
פלומה, שערות רכות
פתית, פרור
ציקן, קמצן
שנת, כל אחד מן הסימנים או קווי החלוקה המצוינים על כלי קיבול
קולמוס, עט
קלסתר, תווי פנים
רצה, פייס/ הפיג את רוגזו של מישהו
שתת, נזל
שם לאל, הכשיל/ סיכל
שעט, התקדם במהירות/ רץ
שרעף, מחשבה/ הרהור
תרוד, כף גדולה לבחישת תבשילים
ערב, המון/ קהל מעורב
צחור, לבן
קורנס, פטיש כבד
בליל, תערובת
